Node ID,URL,HTML,Targets,Status,Created At,Messages
faac1bb6-9695-400d-8d82-0cf5b64219c9,https://admissions.duke.edu/visit/,<select>,"section[data-sr-id=""8""] > .mobile-tab-list.d-lg-none > select",Active,2024-10-07T16:46:43.228+00:00,"violation: aria-label attribute does not exist or is empty | violation: Form element does not have an implicit (wrapped) <label> | violation: ""Element's default semantics were not overridden with role=""""none"""" or role=""""presentation"""""" | violation: Select Name Rule: Ensure select element has an accessible name. Select element must have an accessible name. More information: https://dequeuniversity.com/rules/axe/4.10/select-name?application=axe-puppeteer | violation: Element has no title attribute | violation: Element does not have an explicit <label> | violation: Form element does not have an explicit <label> | violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: Element does not have an implicit (wrapped) <label>"
3dc3c2a2-a86f-4722-a5b3-8e4f493330e8,https://admissions.duke.edu/visit/,"<h4 class=""eyebrow-metric""> </h4>","section[data-sr-id=""9""] > .inner-content > .list.body-text-sm > .cal-item > .eyebrow-metric",Active,2024-10-07T16:46:42.808+00:00,"violation: aria-label attribute does not exist or is empty | violation: Element has no title attribute | violation: Element does not have text that is visible to screen readers | violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"""
5386284e-b28b-4fc3-a236-270949febef9,https://admissions.duke.edu/your-first-year/,"<iframe src=""https://www.youtube.com/embed/qK3zFrVBKMc"" width=""600"" height=""335"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe>",iframe,Active,2024-10-07T16:46:42.803+00:00,"violation: ""Element's default semantics were not overridden with role=""""none"""" or role=""""presentation"""""" | violation: Frame Title Rule: Ensure <iframe> and <frame> elements have an accessible name. Frames must have an accessible name. More information: https://dequeuniversity.com/rules/axe/4.10/frame-title?application=axe-puppeteer | violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: Element has no title attribute | violation: aria-label attribute does not exist or is empty"
c67d83df-bb69-48fd-9cc6-c4dc128281a3,https://admissions.duke.edu/community/,"<button class=""mobile-trigger"" aria-selected=""false"">
  Open
</button>","section[data-sr-id=""20""] > .mobile-trigger",Active,2024-10-07T16:46:42.777+00:00,violation: Aria Allowed Attr Rule: Ensure an element's role supports its ARIA attributes. Elements must only use supported ARIA attributes. More information: https://dequeuniversity.com/rules/axe/4.10/aria-allowed-attr?application=axe-puppeteer
9868fad5-a7ea-445e-9733-eb37264781c2,https://admissions.duke.edu/apply/,<select>,select,Active,2024-10-07T16:46:42.763+00:00,"violation: Element does not have an explicit <label> | violation: Element has no title attribute | violation: ""Element's default semantics were not overridden with role=""""none"""" or role=""""presentation"""""" | violation: Select Name Rule: Ensure select element has an accessible name. Select element must have an accessible name. More information: https://dequeuniversity.com/rules/axe/4.10/select-name?application=axe-puppeteer | violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: Form element does not have an implicit (wrapped) <label> | violation: aria-label attribute does not exist or is empty | violation: Element does not have an implicit (wrapped) <label> | violation: Form element does not have an explicit <label>"
f1c2b290-5b8c-4073-9e4b-cc2a31f420da,https://admissions.duke.edu/resources-tools/,"<h2 class=""eyebrow""></h2>","section[data-sr-id=""10""] > .eyebrow",Equalified,2024-10-07T16:46:42.736+00:00,"violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: Element does not have text that is visible to screen readers | violation: Element has no title attribute | violation: aria-label attribute does not exist or is empty"
93baf624-9051-4691-a0ad-0843ff27eaff,https://admissions.duke.edu/apply/,"<h2 class=""eyebrow""></h2>","section[data-sr-id=""6""] > .eyebrow",Active,2024-10-07T16:46:42.595+00:00,"violation: Element does not have text that is visible to screen readers | violation: Element has no title attribute | violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: aria-label attribute does not exist or is empty"
9876c0f1-5ddb-4909-8810-85ea9e3fbfaf,https://admissions.duke.edu/faqs/,<select>,select,Equalified,2024-10-07T16:46:42.557+00:00,"violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: Element does not have an explicit <label> | violation: ""Element's default semantics were not overridden with role=""""none"""" or role=""""presentation"""""" | violation: Select Name Rule: Ensure select element has an accessible name. Select element must have an accessible name. More information: https://dequeuniversity.com/rules/axe/4.10/select-name?application=axe-puppeteer | violation: aria-label attribute does not exist or is empty | violation: Element has no title attribute | violation: Element does not have an implicit (wrapped) <label> | violation: Form element does not have an implicit (wrapped) <label> | violation: Form element does not have an explicit <label>"
64ec0ca8-01ce-4819-bd2b-eec354557f8d,https://admissions.duke.edu/our-students/,"<button class=""mobile-trigger"" aria-selected=""false"">
  Open
</button>","section[data-sr-id=""14""] > .mobile-trigger",Active,2024-10-07T16:46:42.547+00:00,violation: Aria Allowed Attr Rule: Ensure an element's role supports its ARIA attributes. Elements must only use supported ARIA attributes. More information: https://dequeuniversity.com/rules/axe/4.10/aria-allowed-attr?application=axe-puppeteer
0366d71b-bf16-41d6-9c26-c5428474f2b8,https://admissions.duke.edu/contact/,"<h2 class=""eyebrow""></h2>",.eyebrow,Active,2024-10-07T16:46:42.49+00:00,"violation: ""aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty"" | violation: Element does not have text that is visible to screen readers | violation: Element has no title attribute | violation: aria-label attribute does not exist or is empty"
705de399-6e07-4dd9-aace-cc5a48c3660a,https://admissions.duke.edu/your-first-year/,"<button class=""mobile-trigger"" aria-selected=""false"">
  Open
</button>",.mobile-trigger,Active,2024-10-07T16:46:42.456+00:00,violation: Aria Allowed Attr Rule: Ensure an element's role supports its ARIA attributes. Elements must only use supported ARIA attributes. More information: https://dequeuniversity.com/rules/axe/4.10/aria-allowed-attr?application=axe-puppeteer
d6a8cbdd-f647-4998-92de-b574647c7448,https://admissions.duke.edu/contact/,"<button class=""mobile-trigger"" aria-selected=""false"">
    Open
  </button>",.mobile-trigger,Active,2024-10-07T16:46:42.382+00:00,violation: Aria Allowed Attr Rule: Ensure an element's role supports its ARIA attributes. Elements must only use supported ARIA attributes. More information: https://dequeuniversity.com/rules/axe/4.10/aria-allowed-attr?application=axe-puppeteer
9ec381ec-20a3-4992-9a69-817a25750f48,https://admissions.duke.edu/families/,"<button class=""mobile-trigger"" aria-selected=""false"">
  Open
</button>",.mobile-trigger,Active,2024-10-07T16:46:42.376+00:00,violation: Aria Allowed Attr Rule: Ensure an element's role supports its ARIA attributes. Elements must only use supported ARIA attributes. More information: https://dequeuniversity.com/rules/axe/4.10/aria-allowed-attr?application=axe-puppeteer
